Field Word,Type,Level,Page
century,n.,2,11
ceramic,adj./n.,3,11
cereal,n.,2,11
ceremony,n.,5,11
certain,adj./pron.,1,11
certainty,n.,6,11
certificate,n./v.,5,11
certify,v.,6,11
chain,n./v.,3,11
chair,n./v.,1,11
chairperson/chair/chairman/chairwoman,n.,5,11
chalk,n./v.,2,11
challenge,n./v.,3,11
chamber,n.,4,11
champagne,n.,6,11
champion,n.,3,11
championship,n.,4,11
chance,n./v.,1,11
change (1),v./n.,2,11
change (2),n.,2,11
changeable,adj.,3,11
channel,n./v.,3,11
chant,n./v.,5,11
chaos,n.,6,11
chapter,n.,3,11
character,n.,2,11
characteristic,adj./n.,4,11
characterize,v.,6,11
charcoal,n.,6,11
charge,v./n.,2,11
chariot,n./v.,6,11
charitable,adj.,6,11
charity,n.,4,11
charm,n./v.,3,11
chart,n./v.,1,11
chase,v./n.,1,11
chat,v./n.,3,11
chatter,v./n.,5,11
cheap,adj./adv.,2,11
cheat,v./n.,2,11
check,v./n.,1,11
checkbook,n.,5,11
check-in,n.,5,11
check-out,n.,5,11
checkup,n.,5,11
cheek,n.,3,11
cheer,n./v.,3,11
cheerful,adj.,3,11
cheese,n.,3,11
chef,n.,5,11
chemical,adj./n.,2,11
chemist,n.,5,11
chemistry,n.,4,11
cherish,v.,4,11
cherry,n./adj.,3,11
chess,n.,2,12
chest,n.,3,12
chestnut,n./adj.,5,12
chew,v./n.,3,12
chick,n.,1,12
chicken,n.,1,12
chief,adj./n.,1,12
child,n.,1,12
childhood,n.,3,12
childish,adj.,2,12
childlike,adj.,2,12
chili,n.,5,12
chill,n./v./adj.,3,12
chilly,adj.,3,12
chimney,n.,3,12
chimpanzee,n.,5,12
chin,n.,2,12
chip,n./v.,3,12
chirp,v./n.,4,12
chocolate,n.,2,12
choice,n./adj.,2,12
choir,n.,5,12
choke,v./n.,3,12
cholesterol,n.,6,12
choose,v.,2,12
chop,v./n.,3,12
chopstick(s),n.,2,12
chord,n.,5,12
chore,n.,4,12
chorus,n.,4,12
Christmas/Xmas,n.,1,12
chronic,adj.,6,12
chubby,adj.,5,12
chuckle,v./n.,6,12
chunk,n.,6,12
church,n.,1,12
cigar,n.,4,12
cigarette,n.,3,12
cinema,n.,4,12
circle,n./v.,2,12
circuit,n.,5,12
circular,adj.,4,12
circulate,v.,4,12
circulation,n.,4,12
circumstance,n.,4,12
circus,n.,3,12
cite,v.,5,12
citizen,n.,2,12
city,n.,1,12
civic,adj.,5,12
civil,adj.,3,12
civilian,n./adj.,4,12
civilization,n.,4,12
